product_id,offerId,title,current_merchant_price_brl,target_shopify_price_brl,target_amountMicros,currencyCode,shopify_variant_id,shopify_variant_sku,merchant_link,guardrails
online:pt:BR:IQ0028-201,IQ0028-201,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906069214,IQ0028-201,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906069214&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-202,IQ0028-202,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906101982,IQ0028-202,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906101982&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-203,IQ0028-203,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906134750,IQ0028-203,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906134750&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-204,IQ0028-204,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906167518,IQ0028-204,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906167518&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-205,IQ0028-205,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906200286,IQ0028-205,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906200286&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-206,IQ0028-206,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906233054,IQ0028-206,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906233054&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-207,IQ0028-207,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906265822,IQ0028-207,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906265822&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-208,IQ0028-208,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906298590,IQ0028-208,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906298590&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-209,IQ0028-209,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906364126,IQ0028-209,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906364126&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-210,IQ0028-210,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,3999.99,3999990000,BRL,47910906396894,IQ0028-210,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906396894&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-211,IQ0028-211,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,4499.99,4499990000,BRL,47910906429662,IQ0028-211,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906429662&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:IQ0028-212,IQ0028-212,Tênis Nike Vomero Premium Flat Stout Marrom,5999.99,4499.99,4499990000,BRL,47910906462430,IQ0028-212,https://lksneakers.com.br/products/tenis-nike-vomero-premium-flat-stout-marrom?currency=BRL&country=BR&variant=47910906462430&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060504,U9060504,Tênis New Balance 9060 Cortado Marrom,2399.99,3499.99,3499990000,BRL,47892215103710,U9060504,https://lksneakers.com.br/products/tenis-new-balance-9060-cortado-marrom?currency=BRL&country=BR&variant=47892215103710&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060505,U9060505,Tênis New Balance 9060 Cortado Marrom,2399.99,3499.99,3499990000,BRL,47892215136478,U9060505,https://lksneakers.com.br/products/tenis-new-balance-9060-cortado-marrom?currency=BRL&country=BR&variant=47892215136478&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060506,U9060506,Tênis New Balance 9060 Cortado Marrom,2399.99,3499.99,3499990000,BRL,47892215169246,U9060506,https://lksneakers.com.br/products/tenis-new-balance-9060-cortado-marrom?currency=BRL&country=BR&variant=47892215169246&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060507,U9060507,Tênis New Balance 9060 Cortado Marrom,2399.99,3499.99,3499990000,BRL,47892215202014,U9060507,https://lksneakers.com.br/products/tenis-new-balance-9060-cortado-marrom?currency=BRL&country=BR&variant=47892215202014&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-1,U9060CCC-1,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716331742,U9060CCC-1,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716331742&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-10,U9060CCC-10,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716626654,U9060CCC-10,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716626654&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-11,U9060CCC-11,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716659422,U9060CCC-11,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716659422&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-2,U9060CCC-2,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716364510,U9060CCC-2,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716364510&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-3,U9060CCC-3,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716397278,U9060CCC-3,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716397278&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-4,U9060CCC-4,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716430046,U9060CCC-4,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716430046&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-5,U9060CCC-5,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716462814,U9060CCC-5,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716462814&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-6,U9060CCC-6,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716495582,U9060CCC-6,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716495582&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-7,U9060CCC-7,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716528350,U9060CCC-7,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716528350&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-8,U9060CCC-8,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716561118,U9060CCC-8,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716561118&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
online:pt:BR:U9060CCC-9,U9060CCC-9,Tênis New Balance 9060 Rich Oak Marrom,2799.99,2399.99,2399990000,BRL,47575716593886,U9060CCC-9,https://lksneakers.com.br/products/tenis-new-balance-9060-rich-oak-marrom?currency=BRL&country=BR&variant=47575716593886&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,price-only; no salePrice; no strikethrough; no Shopify write
