product_id,offer_id,current_gmc_title,proposed_gmc_title,shopify_product_title,variant_id,variant_sku,size,confidence,source,link,selected_for_apply
online:pt:BR:DX5930001-38,DX5930001-38,Tênis Nike Dunk Low Phantom Metallic Gold Dourado,Tênis Nike Dunk Low Phantom Metallic Gold Dourado - Tamanho 38,Tênis Nike Dunk Low Phantom Metallic Gold Dourado,44266646995166,DX5930001-38,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/nike-dunk-low-phantom-metallic-gold?currency=BRL&country=BR&variant=44266646995166&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:U9060EEH-11,U9060EEH-11,Tênis New Balance 9060 Sparrow Flat Taupe Marrom,Tênis New Balance 9060 Sparrow Flat Taupe Marrom - Tamanho 44,Tênis New Balance 9060 Sparrow Flat Taupe Marrom,46009629114590,U9060EEH-11,44,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-9060-sparrow-flat-taupe-marrom?currency=BRL&country=BR&variant=46009629114590&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:DZ1382001-41,DZ1382001-41,Tênis Tiffany & Co. x Nike Air Force 1 Low 1837 Preto,Tênis Tiffany & Co. x Nike Air Force 1 Low 1837 Preto - Tamanho 41,Tênis Tiffany & Co. x Nike Air Force 1 Low 1837 Preto,44265054208222,DZ1382001-41,41,alta,shopify_public_product_js,https://lksneakers.com.br/products/tiffany-co-x-nike-air-force-1-low-1837?currency=BRL&country=BR&variant=44265054208222&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:HV6103300-9,HV6103300-9,Tênis Nike Dunk Low Retro QS Halloween Skull Verde,Tênis Nike Dunk Low Retro QS Halloween Skull Verde - Tamanho 39.5,Tênis Nike Dunk Low Retro QS Halloween Skull Verde,46236464054494,HV6103300-9,39.5,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-dunk-low-retro-qs-halloween-skull-verde?currency=BRL&country=BR&variant=46236464054494&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:u9060aga-8,u9060aga-8,Tênis New Balance 9060 Grey Day 2025 Cinza,Tênis New Balance 9060 Grey Day 2025 Cinza - Tamanho 41,Tênis New Balance 9060 Grey Day 2025 Cinza,47046882918622,u9060aga-8,41,alta,shopify_public_product_js,https://www.lksneakers.com.br/products/tenis-new-balance-9060-grey-day-2025-esportivo-casual?variant=47046882918622,True
online:pt:BR:ALO-2441950-39,ALO-2441950-39,Tênis Alo Yoga Alo Runner Pink Rosa,Tênis Alo Yoga Alo Runner Pink Rosa - Tamanho 39,Tênis Alo Yoga Alo Runner Pink Rosa,47895152656606,ALO-2441950-39,39,alta,shopify_public_product_js,https://lksneakers.com.br/products/alo-runner-sweet-pink-rosa?currency=BRL&country=BR&variant=47895152656606&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:U530CSB-4,U530CSB-4,Tênis New Balance 530 Arid Stone Cinza,Tênis New Balance 530 Arid Stone Cinza - Tamanho 37,Tênis New Balance 530 Arid Stone Cinza,46182737346782,U530CSB-4,37,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-530-arid-stone-cinza?currency=BRL&country=BR&variant=46182737346782&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:JR5114-5,JR5114-5,Tênis adidas Superstar x CLOT Chinese New Year Preto,Tênis adidas Superstar x CLOT Chinese New Year Preto - Tamanho 38,Tênis adidas Superstar x CLOT Chinese New Year Preto,46213415534814,JR5114-5,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-adidas-superstar-x-clot-chinese-new-year-preto?currency=BRL&country=BR&variant=46213415534814&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:HV8547-002-36,HV8547-002-36,Tênis Nike Moon Shoe SP Jacquemus Off White,Tênis Nike Moon Shoe SP Jacquemus Off White - Tamanho 36,Tênis Nike Moon Shoe SP Jacquemus Off White,47936427819230,HV8547-002-36,36,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-moon-shoe-sp-jacquemus-off-white?currency=BRL&country=BR&variant=47936427819230&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:1183A201-126-5,1183A201-126-5,Tênis Onitsuka Tiger Mexico 66 White Black Branco,Tênis Onitsuka Tiger Mexico 66 White Black Branco - Tamanho 38,Tênis Onitsuka Tiger Mexico 66 White Black Branco,46619126628574,1183A201-126-5,38,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-onitsuka-tiger-mexico-66-white-black-branco?currency=BRL&country=BR&variant=46619126628574&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
online:pt:BR:CZ0790-102-8,CZ0790-102-8,Tênis Nike Air Jordan 1 Low Og Mocha Marrom,Tênis Nike Air Jordan 1 Low Og Mocha Marrom - Tamanho 41,Tênis Nike Air Jordan 1 Low Og Mocha Marrom,45763786309854,CZ0790-102-8,41,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-air-jordan-1-low-og-mocha-marrom?currency=BRL&country=BR&variant=45763786309854&utm_source=google&utm_medium=cpc&utm_campaign=Google%20Shopping&stkn=789476af598e,True
