product_id,offer_id,merchant_title,merchant_link,fresh_required_attrs,suggested_attributes,source_prices,evidence,decision_state,selected_for_apply
online:pt:BR:1624428988081867066,1624428988081867066,Boné Aimé Leon Dore Porsche Nylon Logo Aspen Gold Amarelo | LK Sneaker,https://lksneakers.com.br/products/bone-aime-leon-dore-porsche-nylon-logo-aspen-gold-amarelo,price,"{""price"": {""value"": ""1599.99"", ""currency"": ""BRL""}}",[1599.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""bone-aime-leon-dore-porsche-nylon-logo-aspen-gold-amarelo"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:7958216211561773980,7958216211561773980,Bolsa Aimé Leon Dore x Porsche Commuter Preto | LK Sneakers,https://lksneakers.com.br/products/bolsa-aime-leon-dore-x-porsche-commuter-preto,price,"{""price"": {""value"": ""7999.99"", ""currency"": ""BRL""}}",[7999.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""bolsa-aime-leon-dore-x-porsche-commuter-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:15507753369156717392,15507753369156717392,Camisa Manga Longa Oversized Saint Studio Egípcio Listrada Azul,https://lksneakers.com.br/products/camisa-manga-longa-oversized-saint-studio-egipcio-listrada-azul,price,"{""price"": {""value"": ""321.99"", ""currency"": ""BRL""}}","[321.99, 459.99]","{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""camisa-manga-longa-oversized-saint-studio-egipcio-listrada-azul"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:15702667075807199895,15702667075807199895,Moletom Fear Of God Essentials Classic Full Zip-Up Jet Black Preto,https://lksneakers.com.br/products/moletom-fear-of-god-essentials-classic-full-zip-up-jet-black-preto,price,"{""price"": {""value"": ""1599.99"", ""currency"": ""BRL""}}",[1599.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""moletom-fear-of-god-essentials-classic-full-zip-up-jet-black-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:11314792792398542744,11314792792398542744,Moletom Oversized Nylon Fear of God Essentials Jet Black Preto,https://lksneakers.com.br/products/moletom-oversized-nylon-fear-of-god-essentials-jet-black-preto,price,"{""price"": {""value"": ""1799.99"", ""currency"": ""BRL""}}",[1799.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""moletom-oversized-nylon-fear-of-god-essentials-jet-black-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:8751205371375268276,8751205371375268276,Moletom Fear Of God Essentials Classic Jet Black Preto,https://lksneakers.com.br/products/moletom-fear-of-god-essentials-classic-jet-black-preto,price,"{""price"": {""value"": ""1599.99"", ""currency"": ""BRL""}}",[1599.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""moletom-fear-of-god-essentials-classic-jet-black-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:8888219390173948734,8888219390173948734,Boné Aimé Leon Dore x Porsche Nylon Logo Pine Grove Verde,https://lksneakers.com.br/products/bone-aime-leon-dore-porsche-nylon-logo-pine-grove-verde,price,"{""price"": {""value"": ""1599.99"", ""currency"": ""BRL""}}",[1599.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""bone-aime-leon-dore-porsche-nylon-logo-pine-grove-verde"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:12820359859699264559,12820359859699264559,Camiseta Fear Of God Essentials Jersey Crewneck Heather Bege,https://lksneakers.com.br/products/camiseta-fear-of-god-essentials-jersey-crewneck-heather-gray-bege,price,"{""price"": {""value"": ""1199.99"", ""currency"": ""BRL""}}",[1199.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""camiseta-fear-of-god-essentials-jersey-crewneck-heather-gray-bege"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:17623149180616410488,17623149180616410488,Jaqueta Aimé Leon Dore x Porsche Nylon Track,https://lksneakers.com.br/products/jaqueta-aime-leon-dore-x-porsche-nylon-track,price,"{""price"": {""value"": ""4999.99"", ""currency"": ""BRL""}}",[4999.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""jaqueta-aime-leon-dore-x-porsche-nylon-track"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:6666401935644385163,6666401935644385163,Pop Mart Labubu The Monsters Coca-Cola Series Figure Single Blind Box [Lacrado],https://lksneakers.com.br/products/pop-mart-labubu-the-monsters-coca-cola-series-figure-single-blind-box-lacrado,price,"{""price"": {""value"": ""279.99"", ""currency"": ""BRL""}}",[279.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""pop-mart-labubu-the-monsters-coca-cola-series-figure-single-blind-box-lacrado"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
online:pt:BR:16354631407067711955,16354631407067711955,Bolsa Aimé Leon Dore x Porsche Nylon Briefcase Preto | LK Sneakers,https://lksneakers.com.br/products/bolsa-aime-leon-dore-x-porsche-nylon-briefcase-preto,price,"{""price"": {""value"": ""8999.99"", ""currency"": ""BRL""}}",[8999.99],"{""price"": ""shopify_handle_from_merchant_link"", ""match_key"": ""bolsa-aime-leon-dore-x-porsche-nylon-briefcase-preto"", ""policy"": ""lowest_positive_shopify_variant_price_for_product""}",ready_for_wave6_price_apply,True
