offer_id,product_id,product_title,product_handle,vendor,product_type,variant_sku,variant_title,missing_attributes,age_group,gender,size,color,confidence,recommended_surface,write_allowed_now
U9060AUB-7,online:pt:BR:U9060AUB-7,Tênis New Balance 9060 Mesh Slate Grey Calcium Cinza,tenis-new-balance-9060-camurca-mesh-cinza-slate-grey-calcium,New Balance,Tênis,U9060AUB-7,40,"age group,gender,size",adult,male,40,,medium,supplemental_feed_preview_preferred,False
A15FW740-3,online:pt:BR:A15FW740-3,"Tênis Maison Mihara Yasuhiro ""Keith"" OG Sole Canvas Low-top Black Preto",tenis-maison-mihara-yasuhiro-keith-og-sole-canvas-low-top-black-preto,Maison Mihara,Tênis,A15FW740-3,36,"age group,gender,size",adult,unisex,36,,medium,supplemental_feed_preview_preferred,False
JI0189-4,online:pt:BR:JI0189-4,Tênis Adidas SL 72 OG Leopard Print Laranja,tenis-adidas-sl-72-og-leopard-print-laranja,Adidas,Tênis,JI0189-4,37,"age group,gender,size",adult,unisex,37,,medium,supplemental_feed_preview_preferred,False
FV5029-200-5,online:pt:BR:FV5029-200-5,Tênis Nike Air Jordan 4 Cave Stone and Black Marrom,tenis-nike-air-jordan-4-cave-stone-and-black-marrom,Jordan,Tênis,FV5029-200-5,42,"age group,gender,size",adult,unisex,42,,medium,supplemental_feed_preview_preferred,False
U9060AUB-8,online:pt:BR:U9060AUB-8,Tênis New Balance 9060 Mesh Slate Grey Calcium Cinza,tenis-new-balance-9060-camurca-mesh-cinza-slate-grey-calcium,New Balance,Tênis,U9060AUB-8,41,"age group,gender,size",adult,male,41,,medium,supplemental_feed_preview_preferred,False
JH5633-3,online:pt:BR:JH5633-3,Tênis Adidas Samba OG White Night Indigo Branco,tenis-adidas-samba-og-white-night-indigo-branco,Adidas,Tênis,JH5633-3,36,"age group,gender,size",adult,female,36,,medium,supplemental_feed_preview_preferred,False
U9060CTA-8,online:pt:BR:U9060CTA-8,Tênis New Balance 9060 Fall Suedes Pack Arid Stone Marrom,tenis-new-balance-9060-fall-suedes-pack-arid-stone-marrom,New Balance,Tênis,U9060CTA-8,41,"age group,gender,size",adult,unisex,41,,medium,supplemental_feed_preview_preferred,False
SLCRBVOW-1,online:pt:BR:SLCRBVOW-1,Camiseta Slyce Racquet Club Bordada Off White,camiseta-slyce-racquet-club-bordada-off-white,Slyce,Camiseta,SLCRBVOW-1,P/S,"age group,gender,size",adult,unisex,P/S,,medium,supplemental_feed_preview_preferred,False
IH7971-001-35,online:pt:BR:IH7971-001-35,Tênis Nike Air Jordan Chase B x Travis Scott x Jumpman Jack TR Black Night Silver Preto,tenis-nike-air-jordan-chase-b-x-travis-scott-x-jumpman-jack-tr-black-night-silver-preto,Air Jordan,Tênis,IH7971-001-35,35,"age group,gender,size",adult,unisex,35,,medium,supplemental_feed_preview_preferred,False
1182A678.700-2,online:pt:BR:1182A678.700-2,Tênis Onitsuka Tiger Mexico 66 TGRS Crystal Pink/Graphite Grey Rosa,tenis-onitsuka-tiger-mexico-66-tgrs-crystal-pink-graphite-grey-rosa,Onitsuka Tiger,Tênis,1182A678.700-2,35,"age group,gender,size",adult,unisex,35,,medium,supplemental_feed_preview_preferred,False
FZ3124207,online:pt:BR:FZ3124207,,,,,,,"age group,gender,size",adult,unisex,,,low,manual_review_before_write,False
JR1639-5,online:pt:BR:JR1639-5,Tênis Adidas SL 72 Og Court Green Cow Print Bege,tenis-adidas-sl-72-og-court-green-cow-print-bege,Adidas,Tênis,JR1639-5,38,"age group,gender,size",adult,unisex,38,,medium,supplemental_feed_preview_preferred,False
1182A678.700-4,online:pt:BR:1182A678.700-4,Tênis Onitsuka Tiger Mexico 66 TGRS Crystal Pink/Graphite Grey Rosa,tenis-onitsuka-tiger-mexico-66-tgrs-crystal-pink-graphite-grey-rosa,Onitsuka Tiger,Tênis,1182A678.700-4,37,"age group,gender,size",adult,unisex,37,,medium,supplemental_feed_preview_preferred,False
FV5029-200-6,online:pt:BR:FV5029-200-6,Tênis Nike Air Jordan 4 Cave Stone and Black Marrom,tenis-nike-air-jordan-4-cave-stone-and-black-marrom,Jordan,Tênis,FV5029-200-6,43,"age group,gender,size",adult,unisex,43,,medium,supplemental_feed_preview_preferred,False
B37583,online:pt:BR:B37583,Tênis Adidas Yeezy Boost 350 V2 Semi Frozen Yellow,tenis-yeezy-boost-350-v2-semi-frozen-yellow-adidas,Yeezy,Tênis,B37583,45,"age group,gender,size",adult,unisex,45,,medium,supplemental_feed_preview_preferred,False
1183C430-020-37,online:pt:BR:1183C430-020-37,Tênis Onitsuka Tiger Tokuten Charcoal Birch Cinza,tenis-onitsuka-tiger-tokuten-charcoal-birch-cinza,Onitsuka Tiger,Tênis,1183C430-020-37,37,"age group,gender,size",adult,unisex,37,,medium,supplemental_feed_preview_preferred,False
1182A708.700-12,online:pt:BR:1182A708.700-12,Tênis Onitsuka Tiger Mexico 66 TGRS Classic Red/Cream Vermelho,tenis-onitsuka-tiger-mexico-66-tgrs-classic-red-cream-vermelho,Onitsuka Tiger,Tênis,1182A708.700-12,42.5,"age group,gender,size",adult,unisex,42.5,,medium,supplemental_feed_preview_preferred,False
1183C115.020-10,online:pt:BR:1183C115.020-10,Tênis Onitsuka Tiger Mexico 66 SD Exposed Metropolis Cinza,tenis-onitsuka-tiger-mexico-66-sd-metropolis-cinza,Onitsuka Tiger,Tênis,1183C115.020-10,41.5,"age group,gender,size",adult,unisex,41.5,,medium,supplemental_feed_preview_preferred,False
JQ0567-4,online:pt:BR:JQ0567-4,Tênis Adidas Tokyo Off White Core Black Branco,tenis-adidas-tokyo-off-white-core-black-branco,Adidas,Tênis,JQ0567-4,37,"age group,gender,size",adult,unisex,37,,medium,supplemental_feed_preview_preferred,False
gw0094,online:pt:BR:gw0094,Tênis Adidas Yeezy Boost 350 V2 Ash Stone Cinza,tenis-adidas-yeezy-boost-350-v2-ash-stone-cinza,Yeezy,Tênis,gw0094,39,"age group,gender,size",adult,unisex,39,,medium,supplemental_feed_preview_preferred,False
JQ9230-4,online:pt:BR:JQ9230-4,Tênis Adidas Ballerina Bad Bunny Bold Gold Amarelo,tenis-adidas-ballerina-bad-bunny-bold-gold-amarelo,Adidas,Tênis,JQ9230-4,37,"age group,gender,size",adult,unisex,37,,medium,supplemental_feed_preview_preferred,False
