priority,bucket,recommended_action,product_id,channel,offer_id,reconciliation_offer_id,title,source,availability,item_group_id,gtin_present,mpn,exact_sku_match,exact_variant_match,product_id_match,gtin_barcode_match,mpn_match,has_local_and_online_normalized_counterpart,evidence,approval_status
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10002025469927148791,online,10002025469927148791,10002025469927148791,Calça Nude Project Jeans Soft Velvet Azul Marinho,crawl,in stock,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10131134412697596529,online,10131134412697596529,10131134412697596529,38,crawl,in stock,,True,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10310578515087778063,online,10310578515087778063,10310578515087778063,40,crawl,in stock,,False,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10312083433143971915,online,10312083433143971915,10312083433143971915,Bolsa Jacquemus Le Grand Bambino Crossbody Flap Bag Croco Embossed Gradient Blue Azul,crawl,in stock,,False,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10339778285846091232,online,10339778285846091232,10339778285846091232,43,crawl,in stock,,True,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10494354248419479343,online,10494354248419479343,10494354248419479343,40,crawl,in stock,,False,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10588380249806721771,online,10588380249806721771,10588380249806721771,40,crawl,in stock,,True,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10591784840915585992,online,10591784840915585992,10591784840915585992,Boné Saint Studio Art Department Azul - LK,crawl,in stock,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10621083909303937387,online,10621083909303937387,10621083909303937387,Tênis Nike Air Jordan 1 Low Black Brown Marrom,crawl,in stock,,False,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:1066317393403197052,online,1066317393403197052,1066317393403197052,37,crawl,in stock,,False,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10670199908087968917,online,10670199908087968917,10670199908087968917,40,crawl,in stock,,True,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10695397335246538087,online,10695397335246538087,10695397335246538087,42,crawl,in stock,,True,,False,False,False,False,False,False,merchant_destination_not_approved;merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10784534773176376609,online,10784534773176376609,10784534773176376609,42.5,crawl,in stock,,False,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
P0,online_unmatched_possible_stale,investigate_stale_or_wrong_online_item_preview,online:pt:BR:10904592510604289283,online,10904592510604289283,10904592510604289283,37,crawl,in stock,,False,,False,False,False,False,False,False,merchant_item_level_issues,preview_only_no_write
