product_id,offer_id,current_gmc_title,proposed_gmc_title,shopify_product_title,confidence,source,link,selected_for_apply
online:pt:BR:5390248129051651686,5390248129051651686,34,Tênis ASICS Gel-1130 White Clay Canyon Branco - Tamanho 34,Tênis ASICS Gel-1130 White Clay Canyon Branco,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-asics-gel-1130-white-clay-canyon-branco,True
online:pt:BR:12053538457178343768,12053538457178343768,40,Tênis On Running x Kith ON K-Tech 2 Spirulina Barley Verde - Tamanho 40,Tênis On Running x Kith ON K-Tech 2 Spirulina Barley Verde,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-on-running-x-kith-on-k-tech-2-spirulina-barley-verde,True
online:pt:BR:5328214585182033036,5328214585182033036,35,Tênis Nike Kobe 5 Protro Lower Merion Aces Away Prata - Tamanho 35,Tênis Nike Kobe 5 Protro Lower Merion Aces Away Prata,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-kobe-5-protro-lower-merion-aces-away-prata,True
online:pt:BR:15014470994320532817,15014470994320532817,36,Tênis New Balance 204L Slate Grey Raincloud Cinza - Tamanho 36,Tênis New Balance 204L Slate Grey Raincloud Cinza,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-204l-slate-grey-raincloud-cinza,True
online:pt:BR:16359969147856982838,16359969147856982838,M/m,Top Nude Project Bassa White Branco - Tamanho M,Top Nude Project Bassa White Branco,média,handle_fallback_HTTPError,https://lksneakers.com.br/products/top-nude-project-bassa-white-branco,True
online:pt:BR:8082476657063126648,8082476657063126648,43,Tênis ASICS Gel-1130 Black Pure Silver Prata - Tamanho 43,Tênis ASICS Gel-1130 Black Pure Silver Prata,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-asics-gel-1130-black-pure-silver-prata-1,True
online:pt:BR:12887836741223739253,12887836741223739253,34,Tênis New Balance 990v6 Made in USA Cinza Castlerock - Tamanho 34,Tênis New Balance 990v6 Made in USA Cinza Castlerock,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-new-balance-990v6-made-in-usa-cinza-castlerock,True
online:pt:BR:13509922810333178540,13509922810333178540,L/g,Camiseta Nude Project Honor Tee Black Preto - Tamanho G/L,Camiseta Nude Project Honor Tee Black Preto,alta,shopify_public_product_js,https://lksneakers.com.br/products/camiseta-nude-project-honor-tee-black-preto,True
online:pt:BR:10695397335246538087,10695397335246538087,42,Bota Timberland 6 Premium Waterproof Boot Supreme Multi Color Colorido - Tamanho 42,Bota Timberland 6 Premium Waterproof Boot Supreme Multi Color Colorido,média,handle_fallback_HTTPError,https://lksneakers.com.br/products/bota-timberland-6-premium-waterproof-boot-supreme-multi-color-colorido,True
online:pt:BR:9914706510510919523,9914706510510919523,37,Tenis Nike SB Dunk Low Pro Muni Lightning Denim Turquoise Turquesa - Tamanho 37,Tenis Nike SB Dunk Low Pro Muni Lightning Denim Turquoise Turquesa,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-sb-dunk-low-pro-muni-lightning-denim-turquoise-turquesa,True
online:pt:BR:3256183830573196292,3256183830573196292,L/g,Camiseta Saint Studio Oversized Suedine Supima Areia Bege - Tamanho G/L,Camiseta Saint Studio Oversized Suedine Supima Areia Bege,alta,shopify_public_product_js,https://lksneakers.com.br/products/camiseta-saint-studio-oversized-suedine-supima-areia-bege,True
online:pt:BR:6577883094469507641,6577883094469507641,43,Tênis Nike Kobe 11 Protro Mamba Day Dourado - Tamanho 43,Tênis Nike Kobe 11 Protro Mamba Day Dourado,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-kobe-11-protro-mamba-day-dourado,True
online:pt:BR:10310578515087778063,10310578515087778063,40,Tênis Nike Vomero Premium Tangerine Tint Laranja - Tamanho 40,Tênis Nike Vomero Premium Tangerine Tint Laranja,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-vomero-premium-tangerine-tint-laranja,True
online:pt:BR:2243578831328686793,2243578831328686793,35,Tênis Nike Vomero Premium Barely Green Verde - Tamanho 35,Tênis Nike Vomero Premium Barely Green Verde,alta,shopify_public_product_js,https://lksneakers.com.br/products/tenis-nike-vomero-premium-barely-green-verde,True
