old_product_id_to_delete,old_offer_id,correct_existing_product_id_to_keep,correct_offer_id,title,evidence,preview_status
online:pt:BR:ALD-2515934-S,ALD-2515934-S,online:pt:BR:ALD-2515934-S,ALD-2515934-S,Camiseta Aimé Leon Dore Musician Graphic Preta,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-2515934-XL,ALD-2515934-XL,online:pt:BR:ALD-2515934-XL,ALD-2515934-XL,Camiseta Aimé Leon Dore Musician Graphic Preta,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3072990-OS,ALD-3072990-OS,online:pt:BR:ALD-3072990-OS,ALD-3072990-OS,Boné Aime Leon Dore Washed Script Plaza Taupe Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3105758-OS,ALD-3105758-OS,online:pt:BR:ALD-3105758-OS,ALD-3105758-OS,Boné Aime Leon Dore Washed Script Jet Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3138526-L,ALD-3138526-L,online:pt:BR:ALD-3138526-L,ALD-3138526-L,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3138526-M,ALD-3138526-M,online:pt:BR:ALD-3138526-M,ALD-3138526-M,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3138526-S,ALD-3138526-S,online:pt:BR:ALD-3138526-S,ALD-3138526-S,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3138526-XL,ALD-3138526-XL,online:pt:BR:ALD-3138526-XL,ALD-3138526-XL,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3381470-G,ALD-3381470-G,online:pt:BR:ALD-3381470-G,ALD-3381470-G,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3381470-M,ALD-3381470-M,online:pt:BR:ALD-3381470-M,ALD-3381470-M,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-3381470-P,ALD-3381470-P,online:pt:BR:ALD-3381470-P,ALD-3381470-P,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-4075486-L,ALD-4075486-L,online:pt:BR:ALD-4075486-L,ALD-4075486-L,Camiseta Aimé Leon Dore Unisphere Pristine Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-4075486-M,ALD-4075486-M,online:pt:BR:ALD-4075486-M,ALD-4075486-M,Camiseta Aimé Leon Dore Unisphere Pristine Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-4075486-S,ALD-4075486-S,online:pt:BR:ALD-4075486-S,ALD-4075486-S,Camiseta Aimé Leon Dore Unisphere Pristine Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-4108254-L,ALD-4108254-L,online:pt:BR:ALD-4108254-L,ALD-4108254-L,Camiseta Aimé Leon Dore Unisphere Black White Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-4108254-M,ALD-4108254-M,online:pt:BR:ALD-4108254-M,ALD-4108254-M,Camiseta Aimé Leon Dore Unisphere Black White Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-4108254-S,ALD-4108254-S,online:pt:BR:ALD-4108254-S,ALD-4108254-S,Camiseta Aimé Leon Dore Unisphere Black White Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-9318238-G,ALD-9318238-G,online:pt:BR:ALD-9318238-G,ALD-9318238-G,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-9318238-M,ALD-9318238-M,online:pt:BR:ALD-9318238-M,ALD-9318238-M,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALD-9318238-P,ALD-9318238-P,online:pt:BR:ALD-9318238-P,ALD-9318238-P,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0341470-L,ALO-0341470-L,online:pt:BR:ALO-0341470-L,ALO-0341470-L,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0341470-M,ALO-0341470-M,online:pt:BR:ALO-0341470-M,ALO-0341470-M,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0341470-S,ALO-0341470-S,online:pt:BR:ALO-0341470-S,ALO-0341470-S,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0341470-XS,ALO-0341470-XS,online:pt:BR:ALO-0341470-XS,ALO-0341470-XS,Moletom Alo Yoga Cropped Serenity Coverup Ivory Off White,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0865758-L,ALO-0865758-L,online:pt:BR:ALO-0865758-L,ALO-0865758-L,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0865758-M,ALO-0865758-M,online:pt:BR:ALO-0865758-M,ALO-0865758-M,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0865758-S,ALO-0865758-S,online:pt:BR:ALO-0865758-S,ALO-0865758-S,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-0865758-XS,ALO-0865758-XS,online:pt:BR:ALO-0865758-XS,ALO-0865758-XS,Moletom Alo Yoga Cropped Serenity Coverup Winter Frost Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1193438-L,ALO-1193438-L,online:pt:BR:ALO-1193438-L,ALO-1193438-L,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1193438-M,ALO-1193438-M,online:pt:BR:ALO-1193438-M,ALO-1193438-M,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1193438-S,ALO-1193438-S,online:pt:BR:ALO-1193438-S,ALO-1193438-S,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1193438-XS,ALO-1193438-XS,online:pt:BR:ALO-1193438-XS,ALO-1193438-XS,Moletom Alo Yoga Cropped Serenity Coverup Light Cocoa Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1465950-OS,ALO-1465950-OS,online:pt:BR:ALO-1465950-OS,ALO-1465950-OS,Boné Alo Yoga Off-Duty Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1750494-L,ALO-1750494-L,online:pt:BR:ALO-1750494-L,ALO-1750494-L,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1750494-M,ALO-1750494-M,online:pt:BR:ALO-1750494-M,ALO-1750494-M,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1750494-S,ALO-1750494-S,online:pt:BR:ALO-1750494-S,ALO-1750494-S,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-1750494-XS,ALO-1750494-XS,online:pt:BR:ALO-1750494-XS,ALO-1750494-XS,Moletom Alo Yoga Cropped Serenity Coverup Bluestone Azul,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-34,ALO-2441950-34,online:pt:BR:ALO-2441950-34,ALO-2441950-34,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-35,ALO-2441950-35,online:pt:BR:ALO-2441950-35,ALO-2441950-35,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-36,ALO-2441950-36,online:pt:BR:ALO-2441950-36,ALO-2441950-36,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-37,ALO-2441950-37,online:pt:BR:ALO-2441950-37,ALO-2441950-37,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-38,ALO-2441950-38,online:pt:BR:ALO-2441950-38,ALO-2441950-38,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-39,ALO-2441950-39,online:pt:BR:ALO-2441950-39,ALO-2441950-39,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-40,ALO-2441950-40,online:pt:BR:ALO-2441950-40,ALO-2441950-40,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-41,ALO-2441950-41,online:pt:BR:ALO-2441950-41,ALO-2441950-41,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-42,ALO-2441950-42,online:pt:BR:ALO-2441950-42,ALO-2441950-42,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-43,ALO-2441950-43,online:pt:BR:ALO-2441950-43,ALO-2441950-43,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-2441950-44,ALO-2441950-44,online:pt:BR:ALO-2441950-44,ALO-2441950-44,Tênis Alo Yoga Alo Runner Pink Rosa,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-3137118-OS,ALO-3137118-OS,online:pt:BR:ALO-3137118-OS,ALO-3137118-OS,Boné Alo Yoga Off-Duty Branco,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4485982-L,ALO-4485982-L,online:pt:BR:ALO-4485982-L,ALO-4485982-L,Calça Alo Yoga Accolade Straight Leg Gravel Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4485982-M,ALO-4485982-M,online:pt:BR:ALO-4485982-M,ALO-4485982-M,Calça Alo Yoga Accolade Straight Leg Gravel Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4485982-S,ALO-4485982-S,online:pt:BR:ALO-4485982-S,ALO-4485982-S,Calça Alo Yoga Accolade Straight Leg Gravel Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4485982-XS,ALO-4485982-XS,online:pt:BR:ALO-4485982-XS,ALO-4485982-XS,Calça Alo Yoga Accolade Straight Leg Gravel Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4485982-XXS,ALO-4485982-XXS,online:pt:BR:ALO-4485982-XXS,ALO-4485982-XXS,Calça Alo Yoga Accolade Straight Leg Gravel Bege,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4584286-L,ALO-4584286-L,online:pt:BR:ALO-4584286-L,ALO-4584286-L,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4584286-M,ALO-4584286-M,online:pt:BR:ALO-4584286-M,ALO-4584286-M,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4584286-S,ALO-4584286-S,online:pt:BR:ALO-4584286-S,ALO-4584286-S,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4584286-XS,ALO-4584286-XS,online:pt:BR:ALO-4584286-XS,ALO-4584286-XS,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4584286-XXS,ALO-4584286-XXS,online:pt:BR:ALO-4584286-XXS,ALO-4584286-XXS,Camiseta Manga Longa Alo Yoga Ribbed Mesmerize Mock Neck Ivory Creme,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-4649822-OS,ALO-4649822-OS,online:pt:BR:ALO-4649822-OS,ALO-4649822-OS,Meia Alo Yoga Throwback Barre Branca,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-7326814-L,ALO-7326814-L,online:pt:BR:ALO-7326814-L,ALO-7326814-L,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-7326814-M,ALO-7326814-M,online:pt:BR:ALO-7326814-M,ALO-7326814-M,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-7326814-S,ALO-7326814-S,online:pt:BR:ALO-7326814-S,ALO-7326814-S,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-7326814-XS,ALO-7326814-XS,online:pt:BR:ALO-7326814-XS,ALO-7326814-XS,Moletom Alo Yoga Cropped Serenity Coverup Athletic Heather Grey Cinza,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-8506462-L,ALO-8506462-L,online:pt:BR:ALO-8506462-L,ALO-8506462-L,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
online:pt:BR:ALO-8506462-M,ALO-8506462-M,online:pt:BR:ALO-8506462-M,ALO-8506462-M,Moletom Alo Yoga Cropped Serenity Coverup Black Preto,correct_shopify_live_sku_product_already_exists_in_merchant,blocked_same_product_id_not_a_duplicate
