old_product_id,old_offer_id,new_product_id,new_offer_id,title,resolution_reason,execution_status,insert_status,delete_status,error_class
online:pt:BR:553558030,553558030,,,Tênis Nike Air Jordan 1 Low Light Smoke Grey Cinza,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ADI-9091550-34,ADI-9091550-34,,,Tênis Adidas Samba OG Valentine's Day,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ADI-9091550-35,ADI-9091550-35,,,Tênis Adidas Samba OG Valentine's Day,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ADI-9091550-36,ADI-9091550-36,,,Tênis Adidas Samba OG Valentine's Day,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ADI-9091550-37,ADI-9091550-37,,,Tênis Adidas Samba OG Valentine's Day,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ADI-9091550-38,ADI-9091550-38,,,Tênis Adidas Samba OG Valentine's Day,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ADI-9091550-39,ADI-9091550-39,,,Tênis Adidas Samba OG Valentine's Day,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2352094-L,ALD-2352094-L,,,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2352094-M,ALD-2352094-M,,,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2352094-S,ALD-2352094-S,,,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2352094-XL,ALD-2352094-XL,,,Camiseta Aimé Leon Dore Queens Crest Pocket Pine Grove Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2515934-L,ALD-2515934-L,,,Camiseta Aimé Leon Dore Musician Graphic Preta,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2515934-M,ALD-2515934-M,,,Camiseta Aimé Leon Dore Musician Graphic Preta,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2515934-S,ALD-2515934-S,,,Camiseta Aimé Leon Dore Musician Graphic Preta,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-2515934-XL,ALD-2515934-XL,,,Camiseta Aimé Leon Dore Musician Graphic Preta,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3072990-OS,ALD-3072990-OS,,,Boné Aime Leon Dore Washed Script Plaza Taupe Bege,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3105758-OS,ALD-3105758-OS,,,Boné Aime Leon Dore Washed Script Jet Black Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3138526-L,ALD-3138526-L,,,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3138526-M,ALD-3138526-M,,,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3138526-S,ALD-3138526-S,,,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3138526-XL,ALD-3138526-XL,,,Moletom Aimé Leon Dore Unisphere Botanical Green Verde,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3381470-G,ALD-3381470-G,,,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3381470-M,ALD-3381470-M,,,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-3381470-P,ALD-3381470-P,,,Camiseta Aimé Leon Dore Pappoús Logo Navy Blazer Azul,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-4075486-L,ALD-4075486-L,,,Camiseta Aimé Leon Dore Unisphere Pristine Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-4075486-M,ALD-4075486-M,,,Camiseta Aimé Leon Dore Unisphere Pristine Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-4075486-S,ALD-4075486-S,,,Camiseta Aimé Leon Dore Unisphere Pristine Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-4108254-L,ALD-4108254-L,,,Camiseta Aimé Leon Dore Unisphere Black White Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-4108254-M,ALD-4108254-M,,,Camiseta Aimé Leon Dore Unisphere Black White Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-4108254-S,ALD-4108254-S,,,Camiseta Aimé Leon Dore Unisphere Black White Preto,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-9318238-G,ALD-9318238-G,,,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-9318238-M,ALD-9318238-M,,,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
online:pt:BR:ALD-9318238-P,ALD-9318238-P,,,Camiseta Aimé Leon Dore Pappoús Logo Pristine Off White,no_unambiguous_target,preserved_no_unambiguous_target,not_attempted,not_attempted,
