product_id,offer_id,merchant_title,diagnostic_required_attrs,current_product_present,current_availability,shopify_exact_sku_seen,shopify_product_status,shopify_inventory_quantity_snapshot,tiny_exact_codigo_seen,tiny_id,tiny_situacao,tiny_tipo_variacao,tiny_official_deposit_seen,tiny_official_deposit_saldo,tiny_total_saldo,proposed_availability,stock_confidence,decision_state,write_scope_if_approved,rollback_required_before_write,write_allowed_now
online:pt:BR:1023851-1A17746_2NM8J-1,1023851-1A17746_2NM8J-1,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,"['age group', 'availability', 'gender', 'size']",True,,True,active,0,True,1070120319,A,V,False,,0.0,out of stock,medium_tiny_total_stock_no_official_deposit,blocked_review_no_official_deposit,"update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-10,1023851-1A17746_2NM8J-10,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,"['age group', 'availability', 'gender', 'size']",True,,True,active,0,True,1070120329,A,V,False,,0.0,out of stock,medium_tiny_total_stock_no_official_deposit,blocked_review_no_official_deposit,"update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-2,1023851-1A17746_2NM8J-2,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,"['age group', 'availability', 'gender', 'size']",True,,True,active,0,True,1070120284,A,V,False,,0.0,out of stock,medium_tiny_total_stock_no_official_deposit,blocked_review_no_official_deposit,"update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-3,1023851-1A17746_2NM8J-3,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,"['age group', 'availability', 'gender', 'size']",True,,True,active,0,True,1070120289,A,V,False,,0.0,out of stock,medium_tiny_total_stock_no_official_deposit,blocked_review_no_official_deposit,"update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
online:pt:BR:1023851-1A17746_2NM8J-4,1023851-1A17746_2NM8J-4,Tênis Onitsuka Tiger x Versace Sakura Leather Loafers Brown White Marrom,"['age group', 'availability', 'gender', 'size']",True,,True,active,0,True,1070120294,A,V,False,,0.0,out of stock,medium_tiny_total_stock_no_official_deposit,blocked_review_no_official_deposit,"update exact Merchant online product availability only, preserving current resource and using products.insert upsert",True,False
