product_id,offer_id,merchant_title,fresh_required_attrs,shopify_match,shopify_product_title,shopify_variant_title,shopify_tags_color,suggested_attributes,evidence,decision_state,apply_allowed_now
online:pt:BR:NUD-2000478-M,NUD-2000478-M,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:NUD-2000478-S,NUD-2000478-S,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:NUD-2000478-XL,NUD-2000478-XL,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:NUD-2000478-XS,NUD-2000478-XS,Camiseta Baby Look Nude Project Juicy Cherry Branca,color,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:SLCRBVNV-1,SLCRBVNV-1,Camiseta Slyce Racquet Club Bordada Azul Marinho,color,True,"{""id"":15790412,""product_id"":52528,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":46642249793758,""inventory_item_id"":48745223160030,""product_title"":null,""title"":""P/S"",""sku"":""SLCRBVNV-1"",""vendor"":null,""option1"":""P/S"",""option2"":null,""option3"":null,""price"":249.0,""compare_at_price"":249.0,""cost_price"":null,""inventory_quantity"":2,""barcode"":null,""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:50.210674+00:00"",""updated_at"":""2026-04-10T01:53:50.210674+00:00""}",P/S,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:SLCRBVNV-2,SLCRBVNV-2,Camiseta Slyce Racquet Club Bordada Azul Marinho,color,True,"{""id"":15790413,""product_id"":52528,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":46642249826526,""inventory_item_id"":48745223192798,""product_title"":null,""title"":""M"",""sku"":""SLCRBVNV-2"",""vendor"":null,""option1"":""M"",""option2"":null,""option3"":null,""price"":249.0,""compare_at_price"":249.0,""cost_price"":null,""inventory_quantity"":4,""barcode"":null,""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:50.210674+00:00"",""updated_at"":""2026-04-10T01:53:50.210674+00:00""}",M,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:SLCRBVNV-3,SLCRBVNV-3,Camiseta Slyce Racquet Club Bordada Azul Marinho,color,True,"{""id"":15790414,""product_id"":52528,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":46642249859294,""inventory_item_id"":48745223225566,""product_title"":null,""title"":""G/L"",""sku"":""SLCRBVNV-3"",""vendor"":null,""option1"":""G/L"",""option2"":null,""option3"":null,""price"":249.0,""compare_at_price"":249.0,""cost_price"":null,""inventory_quantity"":1,""barcode"":null,""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:50.210674+00:00"",""updated_at"":""2026-04-10T01:53:50.210674+00:00""}",G/L,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:16606924615096196772,16606924615096196772,G/l,size,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:300110,300110,Jason Markk Essential Kit de Limpeza,color; size,True,"{""id"":15788109,""product_id"":52609,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":46116449124574,""inventory_item_id"":48215444291806,""product_title"":null,""title"":""Default Title"",""sku"":""300110"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":199.99,""compare_at_price"":199.99,""cost_price"":null,""inventory_quantity"":-1,""barcode"":""194272357136"",""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:49.594271+00:00"",""updated_at"":""2026-04-10T01:53:49.594271+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:2183-USA,2183-USA,Jason Markk Travel Shoe Cleaning Kit,color; size,True,"{""id"":15788108,""product_id"":52616,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":46116448403678,""inventory_item_id"":48215443570910,""product_title"":null,""title"":""Default Title"",""sku"":""2183-USA"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":299.99,""compare_at_price"":299.99,""cost_price"":null,""inventory_quantity"":0,""barcode"":null,""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:49.594271+00:00"",""updated_at"":""2026-04-10T01:53:49.594271+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:13509922810333178540,13509922810333178540,L/g,size,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:3256183830573196292,3256183830573196292,L/g,size,False,,,,{},{},blocked_no_safe_suggestion,False
online:pt:BR:RH20,RH20,Lip Tint Rhode Scented Peptide Toast,color; size,True,"{""id"":15795481,""product_id"":52648,""shopify_product_id"":null,""shopify_variant_id"":null,""source_variant_id"":47675435516126,""inventory_item_id"":49790581440734,""product_title"":null,""title"":""Default Title"",""sku"":""RH20"",""vendor"":null,""option1"":""Default Title"",""option2"":null,""option3"":null,""price"":399.99,""compare_at_price"":399.99,""cost_price"":null,""inventory_quantity"":0,""barcode"":null,""requires_shipping"":true,""taxable"":true,""weight"":null,""weight_unit"":""kg"",""is_active"":true,""created_at"":""2026-04-10T01:53:51.601028+00:00"",""updated_at"":""2026-04-10T01:53:51.601028+00:00""}",Default Title,,{},{},blocked_no_safe_suggestion,False
