product_id,merchant_title,shopify_variant_title,packet_missing_attributes,fresh_missing_required_attrs,current_sizes,current_age_group,current_gender,suggested_sizes,suggested_age_group,suggested_gender,review_decision_state,review_reasons,apply_allowed_now
online:pt:BR:ST78,Shorts Saint Studio Everywear Preto,36,age group; gender; size,age group; gender; size,,,,36,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:SLFTSVOW-1,Shorts Slyce Frenchterry Off White,P/S,age group; gender; size,age group; gender; size,,,,P/S,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:SLSTMCS-1,Shorts Slyce On Season TM Verde,M,age group; gender; size,age group; gender; size,,,,M,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ4307-601,Slide Nike Mind 001 'Team Red' Vermelho,38,age group; gender; size,age group; gender; size,,,,38,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ4307-301-37,Slide Nike Mind 001 Geode Teal Verde,37,age group; gender; size,age group; gender; size,,,,37,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ4307-100-34,Slide Nike Mind 001 Sail Bege,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:HQ4307-101-34,Slide Nike Mind 001 White Speed Red Branco,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:JR8179-1,Tenis Adidas Gazelle Stack Collegiate Green Cream White Verde,35,age group; gender; size,age group; gender; size,,,,35,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:KI6669-34,Tenis adidas Samba OG Crystal Linen Ivory Gum Branco,34,age group; gender; size,age group; gender; size,,,,34,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
online:pt:BR:MR530AA-37,Tenis New Balance 530 Beige Angora Creme,37,age group; gender; size,age group; gender; size,,,,37,adult,unisex,candidate_wave2_review_default_adult_unisex_size,fresh productstatus still reports required metadata missing; default adult/unisex + Shopify size evidence but needs human approval,False
