old_product_id_deleted,old_offer_id,old_normalized_sku,replacement_local_product_ids_kept,title,package_origin,old_present_preflight,replacement_local_present_preflight,execution_status,delete_status,old_absent_live_verified,replacement_ids_present_live_verified,error_message
local:pt:BR:LIA_ONI-5436510-35,LIA_ONI-5436510-35,ONI-5436510-35,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-36,LIA_ONI-5436510-36,ONI-5436510-36,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-37,LIA_ONI-5436510-37,ONI-5436510-37,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-38,LIA_ONI-5436510-38,ONI-5436510-38,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-39,LIA_ONI-5436510-39,ONI-5436510-39,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-40,LIA_ONI-5436510-40,ONI-5436510-40,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-41,LIA_ONI-5436510-41,ONI-5436510-41,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_ONI-5436510-42,LIA_ONI-5436510-42,ONI-5436510-42,local:pt:BR:LIA_1183C468.300,Tênis Onitsuka Tiger Mexico 66 SD Metallic Series Pale Mint Cream Azul,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_PAC-5280094-M,LIA_PAC-5280094-M,PAC-5280094-M,local:pt:BR:LIA_PACEWAFFLE,Camiseta Pace Waffle Knit Off White,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_PAC-5280094-S,LIA_PAC-5280094-S,PAC-5280094-S,local:pt:BR:LIA_PACEWAFFLE,Camiseta Pace Waffle Knit Off White,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
local:pt:BR:LIA_PAC-5280094-XL,LIA_PAC-5280094-XL,PAC-5280094-XL,local:pt:BR:LIA_PACEWAFFLE,Camiseta Pace Waffle Knit Off White,C_local_identifier_fix,True,1,applied_delete_old_local_only_keep_replacement,ok_or_already_absent,True,True,
